2025-08-28 21:46:21.707 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-08-28 21:46:21.744 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-08-28 21:46:21.744 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-08-28 21:46:21.744 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Application is null : false
2025-08-28 21:46:21.745 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-08-28 21:46:21.745 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Application version is -1: false
2025-08-28 21:46:21.745 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-08-28 21:46:21.905 INFO  [DiscoveryClient-CacheRefreshExecutor-%d] c.netflix.discovery.DiscoveryClient - The response status is 200
2025-08-28 21:46:26.081 INFO  [http-nio-8080-exec-1] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.082 INFO  [http-nio-8080-exec-1] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/index.html
2025-08-28 21:46:26.083 INFO  [http-nio-8080-exec-1] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.239 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.239 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/swagger-initializer.js
2025-08-28 21:46:26.239 INFO  [http-nio-8080-exec-6] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.239 INFO  [http-nio-8080-exec-3] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-3] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/index.css
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-3] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-4] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-4] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/swagger-ui-bundle.js
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/swagger-ui.css
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-4] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-2] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/swagger-ui-standalone-preset.js
2025-08-28 21:46:26.240 INFO  [http-nio-8080-exec-5] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.406 INFO  [http-nio-8080-exec-7] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.407 INFO  [http-nio-8080-exec-7] c.farmflow.config.security.JwtFilter - Message :/swagger-ui/favicon-16x16.png
2025-08-28 21:46:26.407 INFO  [http-nio-8080-exec-7] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution End
2025-08-28 21:46:26.442 INFO  [http-nio-8080-exec-8] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.442 INFO  [http-nio-8080-exec-8] c.farmflow.config.security.JwtFilter - Message :/farmer_app_shopping-docs/swagger-config
2025-08-28 21:46:26.442 INFO  [http-nio-8080-exec-8] c.farmflow.config.security.JwtFilter - Skipping JWT Filter for: /farmer_app_shopping-docs/swagger-config
2025-08-28 21:46:26.535 INFO  [http-nio-8080-exec-9] c.farmflow.config.security.JwtFilter - JwtFilter : doFilterInternal() : Execution Start
2025-08-28 21:46:26.535 INFO  [http-nio-8080-exec-9] c.farmflow.config.security.JwtFilter - Message :/farmer_app_shopping-docs/public
2025-08-28 21:46:26.535 INFO  [http-nio-8080-exec-9] c.farmflow.config.security.JwtFilter - Skipping JWT Filter for: /farmer_app_shopping-docs/public
2025-08-28 21:46:27.557 INFO  [http-nio-8080-exec-9] o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 987 ms
